Name,Title,Name_ko,Title_ko,Name_zh,Title_zh,Name_ja,Title_ja,Name_es,Title_es,Description,Rarity,Element,Effect_type,Description_en,Description_zh,Description_ja,Description_es,no
Ripple of Intuition,Gut Feeling,직관의 파동,본능적 감각,直觉波动,本能直觉,直感の波動,本能の直感,Ondulación de Intuición,Corazonada,주식 차트나 계약서의 미세한 위화감을 파동으로 느껴 사전에 피해를 막아줍니다. 논리적인 이유를 알기 전에도 몸이 먼저 위험을 감지해 소지자를 보호합니다.,common,water,"(지혜, 정화, 유연한 적응)","Allows the holder to feel subtle anomalies in charts or contracts as vibrations, preventing losses through intuition beyond logic.",通过波动感受股票图表或合同中的细微违和感，通过超越逻辑推理的直觉预先防止损失。,株価チャートや契約書の微細な違和感を波動として感じ取り、事前に被害を防ぎます。論理的な推論を超えた直感で損失を避けます。,"Permite sentir anomalías sutiles en gráficos o contratos como vibraciones, previniendo pérdidas mediante una intuición más allá de la lógica.",16
Stream of Eloquence,Silver Tongue,웅변의 흐름,유려한 말솜씨,雄辩之流,伶牙俐齿,雄弁の流れ,立て板に水,Corriente de Elocuencia,Lengua de Plata,"막힌 대화를 물 흐르듯 유연하게 풀어냅니다. 어떤 까다로운 질문에도 재치 있게 응대하며, 상대방의 기분을 거스르지 않으면서 자신이 원하는 결론으로 유도합니다.",uncommon,water,"(지혜, 정화, 유연한 적응)","Unravels blocked conversations as smoothly as flowing water, responding to difficult questions with wit and capturing hearts with humor.",像流水一样顺畅地化解受阻的对话，机智地应对任何刁钻的问题，用幽默感俘获对方的心。,滞った会話を水が流れるようにしなやかに解きほぐします。どんな気難しい質問にも機転を利かせて応対し、ユーモアで相手の心を掴みます。,"Desenreda conversaciones bloqueadas con fluidez, respondiendo a preguntas difíciles con ingenio y capturando corazones con humor.",17
Aquamarine Clarity,Logic Filter,청람빛 명료함,논리 필터,澄澈青晶,逻辑过滤,澄み渡る青藍,論理フィルター,Claridad de Aguamarina,Filtro de Lógica,복잡하게 꼬인 감정 덩어리에서 이성적인 팩트만을 걸러내어 보여줍니다. 연인 관계나 비즈니스 갈등에서 감정 소모 없이 가장 합리적인 해결책을 도출하게 합니다.,uncommon,water,"(지혜, 정화, 유연한 적응)","Filters out only rational facts from complex emotions, providing cold and accurate solutions to relationships or business conflicts.",从错综复杂的情感纠结中筛选出理性的事实，为恋人关系或商务冲突提供冷静而准确的解决方案。,複雑に絡まった感情の塊から理性的な事実だけを濾し取って見せます。ビジネスや対人関係の葛藤において、冷徹で正確な解決策を提示します。,"Filtra solo los hechos racionales de emociones complejas, proporcionando soluciones precisas para conflictos de pareja o negocios.",18
Rain of Productivity,Task Flow,생산성의 비,작업 흐름,生产力之雨,任务流转,生産性の雨,タスクフロー,Lluvia de Productividad,Flujo de Tareas,쏟아지는 업무들을 하나씩 순차적으로 처리하는 최적의 리듬을 부여합니다. 마치 비가 내리듯 자연스럽게 할 일을 마무리지어 퇴근 시간을 2시간 이상 앞당깁니다.,uncommon,water,"(지혜, 정화, 유연한 적응)","Grants an optimal rhythm to handle pouring tasks one by one, allowing work to be completed quickly and perfectly like falling rain.",赋予按顺序处理繁杂任务的最佳节奏，使工作像降雨一样迅速而完美地完成。,押し寄せる業務を一つずつ順次処理する最適なリズムを与えます。まるで雨が降るように、迅速かつ完璧に仕事が片付いていきます。,"Otorga un ritmo óptimo para manejar tareas una por una, permitiendo que el trabajo se complete rápida y perfectamente.",19
Glacier of Self-Control,Stoic Aegis,자제력의 빙하,스토아의 방패,自制力冰川,禁欲之盾,自制の氷河,ストア派の盾,Glaciar de Autocontrol,Egida Estoica,"지름신, 폭식, 게임 중독 등 순간적인 충동을 얼음처럼 얼려버립니다. 철저한 자기 객관화를 통해 자신의 삶을 완벽하게 통제하는 냉철한 관리자로 거듭나게 합니다.",rare,water,"(지혜, 정화, 유연한 적응)","Freezes momentary impulses like shopping sprees or addictions like ice, maintaining iron-willed self-control through self-objectification.",将购物冲动、暴饮暴食、游戏成瘾等瞬间冲动像冰块一样冻结，通过彻底的自我客体化维持钢铁般的自我控制。,衝動買い、暴食、ゲーム依存などの瞬間的な衝動を氷のように凍らせます。徹底した自己客観化を通じて、鉄のような自己コントロール力を維持します。,"Congela impulsos momentáneos como compras compulsivas o adicciones, manteniendo un autocontrol de hierro mediante la auto-objetivación.",20
Tidal Shift Crystal,Trend Surfing,조수의 변화 수정,트렌드 서핑,潮汐转换水晶,趋势冲浪,潮流変化の晶石,トレンドサーフィン,Cristal de Cambio de Marea,Surf de Tendencias,시대의 흐름이 어디로 바뀌는지 남들보다 반 박자 빠르게 파악하게 합니다. 거대한 변화의 파도에 휩쓸리는 대신 그 위에 올라타 부와 명성을 독식하게 돕니다.,rare,water,"(지혜, 정화, 유연한 적응)","Enables the holder to grasp the direction of the era's trends half a beat faster than others, riding the giant wave of change.",比他人领先半拍掌握时代潮流的走向，搭乘巨大的变化浪潮，获得先发优势的利润。,時代の流れがどこへ変わるのか、他人より半歩早く把握させます。巨大な変化の波に乗り、先行者利益を独占する洞察力を与えます。,"Permite captar la dirección de las tendencias de la época medio paso más rápido que los demás, cabalgando la gran ola del cambio.",21
Source of Vitality,Peak Recovery,생명력의 근원,최상의 회복력,活力源泉,巅峰恢复,活力の源,最高の回復力,Fuente de Vitalidad,Recuperación Máxima,일상에서 쌓인 피로를 효율적으로 관리하여 짧은 휴식으로도 최상의 컨디션과 맑은 정신을 유지하게 돕습니다.,rare,water,"(지혜, 정화, 유연한 적응)","Efficiently manages daily fatigue, restoring peak vitality and mental clarity through optimal recovery sessions.",有效管理日常疲劳，通过优化的恢复过程恢复巅峰活力和清醒头脑。,日々の疲労を効率的に管理し、短い休息でも最高のコンディションと明晰な精神状態を維持します。,"Gestiona eficientemente la fatiga diaria, restaurando la vitalidad máxima y la claridad mental mediante la recuperación.",22
Deep Sea of Secrets,Absolute Privacy,비밀의 심해,완벽한 보안,秘密深海,绝对隐私,秘密の深海,完璧なセキュリティ,Mar Profundo de Secretos,Privacidad Absoluta,소지자의 소중한 정보와 데이터 자산을 외부 위협으로부터 철저히 보호하여 어떤 환경에서도 완벽한 보안을 유지합니다.,epic,water,"(지혜, 정화, 유연한 적응)","Strictly protects valuable information and data assets from external threats, ensuring ironclad privacy.",严密保护宝贵的信息和数据资产免受外部威胁，确保无懈可击的隐私。,貴重な情報やデータ資産を外部の脅威から厳重に保護し、いかなる環境でも完璧なセキュリティを維持します。,"Protege estrictamente la información valiosa y los activos de datos contra amenazas externas, asegurando la privacidad.",23
Vortex of Wealth Flow,Cash Magnet,부의 흐름 소용돌이,현금 마그넷,财富流涡旋,现金磁石,富の流転の渦,キャッシュマグネット,Vórtice de Flujo de Riqueza,Imán de Efectivo,"정체된 자산 흐름을 소지자를 중심으로 회전시킵니다. 전 세계의 돈이 소지자의 계좌로 흘러들어오는 통로를 개척하며, 쓰면 쓸수록 더 큰 돈이 들어오는 풍요의 소용돌이를 만듭니다.",epic,water,"(지혜, 정화, 유연한 적응)","Rotates stagnant asset flows around the holder, causing the world's money to flow naturally into the holder's account as if drawn by a magnet.",让停滞的资产流以持有者为中心旋转，使全世界的金钱像被磁铁吸引一样自然地流入持有者的账户。,停滞した資産の流れを持ち主を中心に回転させます。全世界のお金が磁石に吸い寄せられるように、自然と持ち主の口座へ流れ込みます。,"Hace girar los flujos de activos estancados alrededor del poseedor, atrayendo el dinero del mundo hacia su cuenta como un imán.",24
Oceanic Consciousness,World Wisdom,대양의 의식,세상의 지혜,海洋意识,世界智慧,大洋の意識,世界の知恵,Conciencia Oceánica,Sabiduría del Mundo,"전 인류의 지식 체계를 바다처럼 수용하고 이해하는 통찰력을 줍니다. 세상 모든 이치에 통달하여 어떤 난제에도 해답을 내놓는, 살아있는 현자로서 추앙받게 만듭니다.",legendary,water,"(지혜, 정화, 유연한 적응)","Gives the insight to understand the entire human knowledge system like an ocean, allowing the holder to master all laws of the world.",赋予像大海一样吸收和理解全人类知识体系的洞察力，通晓世间万理，成为贤明的领导者。,全人類の知識体系を海のように受容し理解する洞찰력을を与え、世界のあらゆる理に通じた指導者へと変貌させます。,"Brinda la perspicacia para comprender todo el sistema de conocimiento humano como un océano, permitiendo dominar todas las leyes del mundo.",25
Primordial Life Source,Timeless Vigor,생체 시계 역행자,시간을 잊은 활력,生物钟逆转者,永恒活力,生体時計の逆行者,時を忘れる活力,Reversor del Reloj Biológico,Vigor Atemporal,신체 밸런스를 최적으로 유지하여 세월의 흐름 속에서도 활기찬 에너지와 기초 체력을 잃지 않도록 수호합니다.,legendary,water,"(지혜, 정화, 유연한 적응)","Maintains optimal physical balance and vigor, supporting enduring stamina and a healthy lifestyle through the years.",保持最佳的身体平衡与活力，支持持久的耐力和健康的生活方式。,身体のバランスを最適に維持し、歳月が流れても活気に満ちたエネルギーと基礎体力を失わないよう守ります。,"Mantiene un equilibrio físico y vigor óptimos, apoyando una resistencia duradera y un estilo de vida saludable.",26
Pebble of Patience,Steady Step,인내의 조약돌,꾸준한 발걸음,毅力之卵石,稳健步伐,忍耐の小石,着実な一歩,Piedra de Paciencia,Paso Constante,반복되는 지루한 일상과 수련을 견디는 인내심을 줍니다. 작은 성과들이 쌓여 거대한 산이 될 때까지 포기하지 않는 끈기를 주어 반드시 목표에 도달하게 합니다.,common,earth,"(신용, 자산, 견고한 기반)","Grants the patience to endure repetitive routines and training, allowing small achievements to stack into a giant mountain of success.",赋予忍受重复枯燥的日常生活和磨练的耐心，使微小的成果堆积成巨大的成功之山。,繰り返される退屈な日常と修練に耐える忍耐力を与えます。小さな成果を積み上げ、巨大な成功の山へと変えます。,"Otorga la paciencia para soportar rutinas y entrenamientos repetitivos, permitiendo que los pequeños logros se conviertan en un éxito masivo.",27
Clay of Skill Absorption,Fast Learning,습득의 점토,쾌속 학습,吸收之粘土,极速学习,習得の粘土,快速学習,Arcilla de Absorción,Aprendizaje Rápido,새로운 소프트웨어나 도구 사용법을 마치 흙을 만지듯 쉽게 익히게 합니다. 복잡한 매뉴얼 없이도 본능적으로 기술의 핵심을 파악하여 실무에 즉각 적용하게 돕습니다.,common,earth,"(신용, 자산, 견고한 기반)","Makes learning new software or tools as easy as playing with clay, mastering technical skills in a short time without manuals.",学习新的软件或工具使用方法就像玩泥巴一样简单，无需复杂的说明书即可在短时间内掌握技术技能。,新しいソフトウェアやツールの使い方を、まるで泥遊びをするように簡単に習得させ、短時間で技術的スキルをマスターさせます。,"Hace que aprender nuevos programas o herramientas sea tan fácil como jugar con barro, dominando habilidades técnicas en poco tiempo.",28
Sand of Saving,Frugal Mind,저축의 모래,검소한 정신,储蓄之砂,勤俭之心,貯蓄の砂,節約精神,Arena de Ahorro,Mente Frugal,불필요한 지출 욕구를 억제하고 자산이 조금씩 쌓이는 재미를 극대화합니다. 티끌 모아 태산이라는 말처럼 사소한 이득들이 모여 탄탄한 종잣돈이 되도록 상황을 유도합니다.,common,earth,"(신용, 자산, 견고한 기반)","Suppresses unnecessary spending desires and maximizes the fun of accumulating assets, instilling the habit of saving.",抑制不必要的支出欲望，使资产逐渐积累的乐趣最大化，养成聚沙成塔的理财习惯。,不必要な支出欲求を抑制し、資産が貯まる楽しさを最大化します。塵も積もれば山となる習慣を骨の髄まで叩き込みます。,"Suprime los deseos de gastos innecesarios y maximiza la diversión de acumular activos, inculcando el hábito del ahorro constante.",29
Quartz of Reliability,Solid Trust,신뢰의 석영,견고한 믿음,信任石英,坚实可靠,信頼の石英,堅実な信頼,Cuarzo de Fiabilidad,Confianza Sólida,소지자에게 말 한마디의 무게를 더해줍니다. 주변 사람들이 소지자를 '믿을 수 있는 사람'으로 인식하게 하여 중요한 업무나 고액의 투자를 전적으로 맡기게 하는 신뢰의 운입니다.,uncommon,earth,"(신용, 자산, 견고한 기반)","Adds weight to every word spoken, causing others to regard the holder as a 'trustworthy person' with the power of a contract.",为持有者的每一句话增添重量，使周围人将持有者视为‘值得信赖的人’，赋予言语以合同般的效力。,持ち主の言葉一つひとつに重みを加え、周囲の人々に「信頼できる人」という認識を植え付け、言葉に契約のような効力を持たせます。,"Agrega peso a cada palabra dicha, haciendo que los demás vean al poseedor como una persona de confianza con el poder de un contrato.",30
Granite Professionalism,Unshakable Base,전문성의 화강암,흔들리지 않는 기반,职业操守花岗岩,不动根基,専門性の花崗岩,揺るぎない基盤,Granito de Profesionalismo,Base Inquebrantable,외부의 비난이나 압박에도 흔들리지 않는 작업 태도를 완성합니다. 개인적인 슬픔이나 기쁨에 상관없이 항상 일정한 퀄리티의 결과물을 내놓는 프로 중의 프로가 되게 합니다.,uncommon,earth,"(신용, 자산, 견고한 기반)","Completes a work attitude unshaken by external criticism, maintaining professional focus regardless of personal emotions.",完成不被外部指责或压力所动摇的工作态度，无论个人情感如何都能保持专业的专注状态。,外部の非難や圧力にも揺るがない作業態度を完成させます。個人的な感情に左右されず、プロフェッショナルな集中を維持します。,"Completa una actitud de trabajo inquebrantable ante críticas externas, manteniendo el enfoque profesional sin importar las emociones.",31
Root of Networking,Deep Connection,인맥의 뿌리,깊은 연결,人脉之根,深度联结,人脈の根,深い繋がり,Raíz de Networking,Conexión Profunda,"가벼운 인맥이 아니라, 소지자가 위기에 처했을 때 발 벗고 나설 진정한 조력자들을 땅속의 뿌리처럼 깊게 연결합니다. 시간이 갈수록 견고해지는 강력한 인적 인프라를 구축합니다.",uncommon,earth,"(신용, 자산, 견고한 기반)","Connects the holder to true supporters who will help during a crisis, like finding gold veins in the ground.",与那些在持有者面临危机时会挺身相助的真正支持者建立联系，如同在地下发现金脉。,軽い人脈ではなく、危機に際して率先して助けてくれる真の助力者たちを、地中の金脈のように引き寄せ、繋ぎ合わせます。,"Conecta al poseedor con verdaderos colaboradores que lo ayudarán en una crisis, como encontrar vetas de oro en la tierra.",32
Basalt of Physical Immunity,Ergonomic Support,신체 면역의 현무암,강건한 신체 기반,身体免疫玄武岩,身体支撑,身体免疫の玄武岩,身体基盤のサポート,Basalto de Inmunidad Física,Soporte Ergonómico,장시간 업무 중에도 올바른 자세를 유지하도록 도와 근육의 부담을 줄이고 건강한 신체 기반을 다지게 합니다.,rare,earth,"(신용, 자산, 견고한 기반)","Supports ergonomic posture during long work hours, significantly reducing physical strain and building a healthy foundation.",在长时间工作中支持人体工程学姿势，显著减少身体负担并建立健康的基盘。,長時間の業務中でも正しい姿勢を維持できるよう助け、筋肉の負担を軽減して健康な身体基盤を構築します。,"Apoya una postura ergonómica durante largas horas de trabajo, reduciendo significativamente la tensión física.",33
Emerald of Land Luck,Strategic Asset Vision,기회의 지각석,자산 통찰력,机会地壳石,资产洞察,機会の地殻石,資産への洞察力,Piedra de Oportunidad,Visión de Activos Estratégicos,장기적인 가치가 높은 입지와 자산을 알아보는 뛰어난 안목을 주어 안정적인 부의 기반을 마련하도록 돕습니다.,rare,earth,"(신용, 자산, 견고한 기반)","Grants sharp insight to identify high-value long-term assets, building a stable and enduring economic foundation.",赋予敏锐的眼光来识别高价值的长期资产，从而建立稳定持久的经济基础。,長期的な価値が高い立地や資産を見抜く優れた眼識を与え、安定した富の基盤を築く手助けをします。,"Brinda una visión aguda para identificar activos de alto valor a largo plazo, construyendo una base económica estable.",34
