Name_en,Title_en,Name_ko,Title_ko,Name_zh,Title_zh,Name_ja,Title_ja,Name_es,Title_es
Prism of Clarity,Data Shined,지표의 조명자,수치의 명료함,指标照明者,数据清晰,指標の照明者,数値の明瞭さ,Iluminador de Métricas,Claridad Numérica
Flicker of Hope,Depression Burner,긍정의 햇살,절망의 소멸,乐观之阳光,焚毁绝望,肯定の陽光,絶望の消滅,Brillo de Positivismo,Extintor de Desesperación
Beacon of Leadership,Guiding Light,지도력의 등대,명확한 방향,领导力之灯塔,明确方向,指導力の灯台,명확한 방향성,Faro de Liderazgo,Dirección Clara
Ray of Aesthetics,Golden Ratio,신성한 미학석,거장의 손길,神圣美学石,大师之触,神聖な美学石,巨匠の手法,Piedra Estética Divina,Toque del Maestro
Halogen of Efficiency,Visual Memory,순간 기억의 수정,완전한 회상,瞬间记忆水晶,完美回想,瞬間記憶の水晶,完全なる回想,Cristal de Memoria Flash,Recuerdo Total
Supernova of Stardom,Global Spotlight,떠오르는 별의 보석,세계적 영향력,冉冉新星石,全球影响力,昇る星の宝石,세계적인 영향력,Joya de Estrella Naciente,Influencia Global
Verdict Radiance,Legal Aegis,정의의 빛,진실의 증거,正义之光,真相之证,正義の光,真実の証明,Luz de Justicia,Prueba de la Verdad
Flash of Pure Genius,Eureka Instant,깨달음의 금강석,즉각적 해답,悟之金刚石,瞬间解答,悟りの金剛石,即座の解答,Diamante de Iluminación,Respuesta Instantánea
Golden Ratio Diamond,Perfectionist Edge,업계 표준의 황금,절대적 기준,行业标准之金,绝对基准,業界標準の黄金,絶対的な基準,Oro de Estándar Industrial,Punto de Referencia Absoluto
Aureola of Influence,Savior’s Charisma,희망의 봉화,구원자의 휘광,希望之烽火,救世主之光芒,希望の烽火,救済者の輝き,Faro de Esperanza,Carisma del Salvador
Nova of Enlightenment,Absolute Awareness,깨달음의 신성,절대적 각성,觉醒之新星,绝对觉知,覚醒の新星,絶対的な自覚,Nova de Iluminación,Conciencia Absoluta
Solaris Core,Creator’s Will,태양의 핵,창조주의 의지,烈阳之核心,创造者之意志,太陽の核,創造主の意志,Núcleo de Solaris,Voluntad del Creador
Shadow Wrap,Privacy Shield,그림자 외피,사생활의 방패,阴影外壳,隐私护盾,影の外皮,プライバシーの盾,Envoltura de Sombra,Escudo de Privacidad
Ink-Spot Onyx,Strategic Silence,칠흑의 마노,전략적 정적,墨色玛瑙,战略性缄默,漆黒の瑪瑙,戦略的な沈黙,ónice de Mancha de Tinta,Silencio Estratégico
Velvet Night,Instant Hibernation,벨벳의 밤,즉각적 동면,丝绒之夜,瞬间休眠,ベルベットの夜,即座の冬眠,Noche de Terciopelo,Hibernación Instantánea
Obsidian of Introspection,Trauma Burner,성찰의 흑요석,상처의 소멸,反思之黑曜石,创伤焚毁者,内省の黒曜石,トラウマの消滅,Obsidiana de Introspección,Quemador de Traumas
Cloak of Subconscious Reading,Mind Shadow,무의식 독해의 망토,정신의 그림자,潜意识读心斗篷,心灵之影,無意識読解の外套,精神の影,Manto de Lectura Subconsciente,Sombra Mental
Mist of Anonymity,Unseen Hand,익명의 안개,보이지 않는 손,匿名之雾,幕后黑手,匿名の霧,見えざる手,Niebla de Anonimato,Mano Invisible
Void Ledger,Untraceable Wealth,허공의 장부,추적 불가한 부,虚空账本,无法追踪之富,虚空の帳簿,追跡不能な富,Libro de Cuentas del Vacío,Riqueza Inrastreable
Nightmare Weaver,Rival’s Phobia,악몽의 직공,경쟁자의 공포,噩梦织手,对手之恐慌,悪夢の織り手,競合の恐怖,Tejedor de Pesadillas,Fobia del Rival
Eclipse of Bad Luck,Fortune Devourer,불운의 일식,행운의 포식자,厄运之食,命运吞噬者,厄災の日食,幸運の捕食者,Eclipse de Mala Suerte,Devorador de Fortuna
Black Hole of Influence,Absolute Gravity,영향력의 블랙홀,절대적 중력,影响力黑洞,绝对引力,影響力の暗黒孔,絶対的な重力,Agujero Negro de Influencia,Gravedad Absoluta
Phantom King’s Crown,Shadow Governance,유령 왕의 왕관,그림자 통치,幻影之王冕,影之统治,幻影王の冠,影の統治,Corona del Rey Fantasma,Gobernanza de las Sombras
Singularity Stone,Reality Eraser,특이점의 돌,현실의 말소자,奇点石,现实抹除者,特異点の石,現実の抹消者,Piedra de Singularidad,Borrador de la Realidad
God of the Void,Existential Mastery,허공의 신,존재의 숙달,虚空之神,存在之掌控,虚空の神,存在の習熟,Dios del Vacío,Maestría Existencial
Ancestral Bead,Lineage Guidance,조상의 구슬,혈통의 인도,祖先之珠,血脉指引,祖先の珠,血統の導き,Cuenta Ancestral,Guía del Linaje
Spirit-Bell of Empathy,Heart Sync,공감의 방령,마음의 동기화,共鸣之灵铃,心灵同步,共鳴の鈴,心の同期,Campana de Empatía,Sincronización del Corazón
Thread of Gratitude,Positive Feedback,감사의 실타래,긍정적 보답,感恩之线,积极反馈,感謝の糸,肯定的回帰,Hilo de Gratitud,Retroalimentación Positiva
Amulet of Fated Allies,Soul Mate Magnet,숙명적 동료의 부적,영혼의 반려자 자석,宿命盟友符,灵魂伴侣磁石,宿命の仲間の守り札,魂の伴侶の磁石,Amuleto de Aliados Fatídicos,Imán de Almas Gemelas
Aura of Mentorship,Wisdom Transmission,전수의 오라,지혜의 전파,导师之光,智慧传承,導きの威光,知恵の伝播,Aura de Mentoría,Transmisión de Sabiduría
Karmic Balance Stone,Justice Scale,인과의 균형석,정의의 저울,因果平衡石,正义之秤,因果の均衡石,正義の天秤,Piedra de Equilibrio Kármico,Balanza de Justicia
Eternal Echo Crystal,Legacy Builder,영원한 메아리 수정,업적의 건설자,永恒回响水晶,功绩建筑师,永遠の残響水晶,業績の構築者,Cristal de Eco Eterno,Constructor de Legados
Soul-Bound Guard,Guardian Spirit,영혼 결속 파수꾼,수호령,魂缚守卫,守护灵,魂に縛られし守護者,守護霊,Guardia de Almas Vinculadas,Espíritu Guardián
Dream-Weaver Pearl,Lucid Life,꿈을 짜는 진주,자각의 삶,织梦珍珠,清晰人生,夢織りの真珠,明晰な生,Perla Tejedora de Sueños,Vida Lúcida
Harmony of the Spheres,Universal Sync,천체의 조화,우주적 동기화,天体和谐,宇宙同步,天体の調和,宇宙的な同期,Armonía de las Esferas,Sincronización Universal
Sovereign Soul Jewel,Kingmaker’s Aura,주권자의 영혼 보석,제왕을 만드는 위엄,主权灵魂宝石,造王者之光,主権の魂石,キングメーカーの威光,Joya del Alma Soberana,Aura de Creador de Reyes
Dharma Overlord Jewel,Karma Dictator,법도의 군주 보석,업보의 지배자,法度领主宝石,业力独裁者,法度の君主の宝石,業の支配者,Joya del Soberano del Dharma,Dictador del Karma
One-Soul Diamond,Absolute Unity,일체 영혼의 금강석,절대적 통합,一体灵魂之钻,绝对统一,一体なる魂の金剛石,絶対的な統合,Diamante de Alma Única,Unidad Absoluta
Puzzle-Piece Agate,Logical Link,결합의 마노,논리적 연결,谜团联结玛瑙,逻辑关联,連結の瑪瑙,論理的な結合,Ágata de Vínculo Lógico,Conexión Lógica
Stoic Marble,Dopamine Guard,부동의 대리석,도파민 방어,沉稳大理石,多巴胺防御,不動の大理石,ドーパミン防衛,Mármol Estoico,Defensa de Dopamina
Cerebro-Sparker,Quick Wit,두뇌의 촉발자,천재적 순발력,大脑触发者,天才机敏,脳の火付け役,天才的な機転,Spark Cerebral,Ingenio de Genio
Mind-Palace Key,Infinite Storage,기억의 궁전 열쇠,무한한 저장,记忆宫殿之钥,无限存储,記憶の宮殿の鍵,無限の貯蔵,Llave del Palacio Mental,Almacenamiento Infinito
Lapis of Polyglot,Language Master,다국어의 청람석,언어의 달인,多语青金石,语言大师,多言語の青藍石,言語の達人,Lapislázuli Políglota,Maestro de Lenguas
Analytical Prism,Pattern Seeker,분석의 프리즘,패턴 추적자,分析棱镜,模式寻找者,분석의 프리즘,パターンの追跡者,Prisma Analítico,Buscador de Patrones
Cerebro-Crystalline Core,Singularity Intellect,지능의 결정핵,특이점의 정신,智能晶核,奇点思维,知能の結晶核,特異点の精神,Intelecto Cristalino,Mente de Singularidad
Blueprints of the Architect,Master Strategy,설계자의 청사진,마스터 전략,建筑师蓝图,大师战略,設計者の設計図,マスター戦略,Planos del Arquitecto,Estrategia Maestra
Mnemosyne’s Mirror,Truth Defector,기억의 화석,지식의 보관소,记忆之石,知识档案,記憶の化石,知識の記録庫,Fósil del Recuerdo,Archivo de Conocimiento
Akashic Access Jewel,Infinite Wisdom,아카식 레코드,보편적 진리,阿卡西记录,普遍真理,アカシックレコード,普遍的な真理,Registro Akáshico,Verdad Universal
Neural Overdrive,Reality Projection,투사의 정석,현실 투영,投影精石,现实投影,投影の精石,現実投影,Piedra de Esencia de Proyección,Proyección de Realidad
God-Brain Emerald,Absolute Cognition,신적 지능의 핵,전지적 인지,神级智能核心,全知认知,神的知能の核,全知の認知,Núcleo de Inteligencia Divina,Percepción Omnisciente
The Singularity,Mind Upload,초월적 영혼,순수 정보체,超越之魂,纯粹信息体,超越の魂,純粋情報体,Alma Trascendental,Ser de Información Pura
